yearID,lgID,total_BB,total_2B,total_3B,total_HR,total_AB,slg,DH_rule
1987,AL,7812,3667,461,2634,77819,0.34779424048111646,Yes
2020,AL,3014,1421,115,1143,29631,0.3635719347980156,Yes
1948,NL,4396,1840,384,845,42256,0.2983718288527073,No
1978,NL,6279,2861,482,1276,65156,0.2847166799680766,No
1989,AL,7277,3404,457,1718,77004,0.2899589631707444,Yes
1949,NL,4405,1865,370,935,42711,0.3040200416754466,No
2001,NL,8567,4613,488,2952,88100,0.35261066969353005,No
2014,AL,7091,4132,390,2161,83123,0.30279224763302576,Yes
1998,AL,7737,4248,408,2499,78416,0.35009436849622527,Yes
1980,AL,7221,3489,553,1844,77888,0.29830012325390304,Yes
1990,AL,7631,3559,460,1796,76800,0.3035546875,Yes
1947,AL,4743,1708,412,679,42002,0.28834341221846577,No
1997,NL,7704,3907,485,2163,77203,0.33191715347849177,No
1961,AL,5902,2226,404,1534,54904,0.32241731021419207,No
1956,NL,3982,1659,372,1219,41849,0.3176181031804822,No
1956,AL,5015,1680,353,1075,42007,0.3269455090818197,No
1950,NL,4537,1885,370,1100,42416,0.32574971708789136,No
1964,AL,5227,2109,333,1551,55180,0.3017035157665821,No
2023,AL,7693,4130,342,2925,82324,0.3483674262669452,Yes
1977,NL,6487,3033,526,1631,66700,0.30967016491754124,No
1971,NL,6059,2505,457,1379,65903,0.2724610412272582,No
2010,NL,8411,4470,498,2404,87886,0.32383997451243657,No
2023,NL,8126,4098,370,2943,82094,0.35573854362072743,Yes
1973,NL,6453,2600,386,1550,66087,0.28766625811430385,No
1966,AL,4927,2021,408,1365,54082,0.28943086424318626,No
1997,AL,7962,4097,398,2477,78235,0.3484118361347223,Yes
2009,NL,8926,4606,561,2482,87884,0.3385030267170361,No
2005,AL,6811,4109,420,2437,78215,0.3328901105925973,Yes
2013,NL,7106,4039,424,2157,82690,0.3033498609263514,No
1996,NL,7501,3782,434,2220,77711,0.32488322116560076,No
2017,AL,7785,4194,334,3170,83034,0.3595515090204013,Yes
1958,AL,4062,1623,290,1057,41684,0.29762019000095963,No
1946,NL,4400,1752,382,562,42094,0.26839929681189717,No
1967,NL,4672,2133,427,1102,55026,0.2658197942790681,No
