yearID,lgID,total_outs,total_runs,era,DH_rule
1973,NL,52446,8062,4.15044045303741,No
2020,NL,23068,4185,4.898344026356858,No
1994,AL,42689,8330,5.268570357703389,Yes
1988,AL,60561,9858,4.395006687472136,Yes
1995,NL,54168,9329,4.650033229951263,No
1962,AL,43545,7183,4.453806407165001,No
2010,AL,60651,10027,4.463718652619083,Yes
1997,NL,60767,10427,4.632925765629372,No
1953,AL,33181,5512,4.48521744371779,No
1961,AL,43280,7342,4.580268022181146,No
1952,AL,33535,5191,4.179424481884598,No
1976,NL,52372,7739,3.989784617734667,No
1951,AL,33163,5716,4.653740614540301,No
1949,NL,33293,5646,4.5788003484215904,No
2004,AL,60744,11316,5.029830106677203,Yes
2015,NL,65140,10225,4.238179306109917,No
1948,AL,32929,5838,4.7868444228491605,No
1977,AL,60672,10247,4.560077136075949,Yes
1978,NL,52000,7742,4.0198846153846155,No
1990,AL,60547,9746,4.3460782532578,Yes
1970,AL,52341,8109,4.1830114059723735,No
1983,NL,52383,7993,4.11986713246664,No
1947,AL,33228,5161,4.193661971830986,No
2016,AL,64833,10856,4.52103095645736,Yes
2021,NL,63797,10869,4.599949840901609,No
1953,NL,32915,5914,4.851222846726417,No
1970,NL,52235,8771,4.533684311285537,No
1967,NL,43748,6218,3.8375697174727987,No
1974,NL,52481,8070,4.151788266229683,No
1961,NL,33080,5600,4.570737605804111,No
1971,NL,52427,7601,3.91452877334198,No
1978,AL,60490,9509,4.244387502066457,Yes
2011,NL,69732,10772,4.1708828084667005,No
1998,NL,69720,11943,4.625086058519793,No
1957,AL,33380,5210,4.214200119832235,No
1975,NL,52351,8014,4.133216175431224,No
